start_time,end_time
00:06.36,00:07.52
00:07.52,00:07.93
00:07.93,00:08.48
00:08.48,00:09.51
00:09.51,00:10.80
00:10.80,00:11.30
00:11.30,00:11.86
00:11.86,00:12.31
00:12.31,00:13.30
00:13.30,00:14.73
00:14.73,00:15.27
00:15.27,00:15.66
00:15.66,00:16.18
00:16.18,00:16.60
00:16.60,00:17.16
00:17.16,00:17.65
00:17.65,00:18.02
00:18.02,00:18.56
00:18.56,00:18.98
00:18.98,00:19.52
00:19.52,00:20.58
00:20.58,00:22.46
00:22.46,00:24.17
00:24.17,00:24.95
00:24.95,00:25.49
00:25.49,00:26.04
00:26.04,00:26.47
00:26.47,00:26.97
00:26.97,00:27.44
00:27.44,00:28.39
00:28.39,00:28.90
00:28.90,00:29.34
00:29.34,00:30.30
00:30.30,00:30.91
00:30.91,00:31.29
00:31.29,00:32.20
00:32.20,00:32.72
00:32.72,00:33.23
00:33.23,00:33.69
00:33.69,00:34.20
00:34.20,00:34.62
00:34.62,00:35.26
00:35.26,00:36.04
00:36.04,00:36.56
00:36.56,00:37.13
00:37.13,00:38.00
00:38.00,00:39.53
00:39.53,00:40.85
00:40.85,00:41.82
00:41.82,00:42.82
00:42.82,00:43.80
00:43.80,00:45.15
00:45.28,00:46.14
00:46.14,00:47.14
00:47.14,00:47.83
00:47.83,00:48.29
00:48.29,00:48.75
00:48.75,00:49.32
00:49.32,00:49.75
00:49.75,00:50.28
00:50.28,00:50.70
00:50.70,00:51.78
00:51.78,00:52.89
00:52.89,00:53.75
00:53.75,00:55.20
00:55.20,00:55.77
00:55.77,00:56.71
00:56.71,00:57.67
00:57.67,00:58.20
00:58.20,00:58.98
00:58.98,00:59.58
00:59.58,01:00.03
01:00.03,01:01.07
01:01.07,01:01.51
01:01.51,01:01.95
01:01.95,01:02.83
01:02.83,01:03.40
01:03.40,01:03.91
01:03.91,01:04.90
01:04.90,01:05.35
01:05.35,01:05.89
01:05.89,01:06.81
01:06.81,01:08.86
01:08.86,01:10.85
01:10.85,01:11.42
01:11.42,01:11.88
01:11.88,01:12.54
01:12.54,01:12.98
01:12.98,01:13.52
01:13.52,01:14.23
01:14.23,01:14.73
01:14.73,01:15.20
01:15.20,01:15.91
01:15.91,01:16.39
01:16.39,01:16.85
01:16.85,01:17.82
01:17.82,01:18.79
01:18.79,01:19.26
01:19.26,01:19.74
01:19.74,01:20.20
01:20.20,01:20.69
01:20.69,01:21.21
01:21.21,01:22.13
01:22.13,01:22.64
01:22.64,01:23.12
01:23.12,01:23.87
01:23.87,01:24.54
01:24.54,01:24.91
01:24.91,01:25.97
01:25.97,01:26.47
01:26.47,01:26.95
01:26.95,01:27.45
01:27.45,01:27.91
01:27.91,01:28.40
01:28.40,01:28.87
01:28.87,01:29.80
01:29.80,01:30.32
01:30.32,01:30.77
01:30.77,01:31.87
01:31.87,01:33.21
01:33.21,01:34.61
01:34.61,01:35.63
01:35.63,01:36.55
01:36.55,01:37.61
01:37.61,01:39.00
01:39.00,01:39.89
01:39.89,01:40.49
01:40.49,01:41.60
01:41.60,01:42.03
01:42.03,01:42.53
01:42.53,01:42.95
01:42.95,01:43.50
01:43.50,01:44.00
01:44.00,01:44.48
01:44.48,01:45.54
01:45.54,01:46.60
01:46.60,01:47.62
01:47.62,01:50.35
01:50.35,01:51.30
01:51.30,01:52.43
01:52.43,01:53.82
01:53.82,01:54.80
01:54.80,01:55.83
01:55.83,01:57.84
01:57.84,01:58.91
01:58.91,01:59.86
01:59.86,02:02.07
02:02.07,02:02.90
02:02.90,02:03.94
02:03.94,02:05.87
02:05.87,02:06.84
02:06.84,02:07.72
02:07.72,02:08.69
02:08.69,02:09.69
02:09.69,02:10.64
02:10.64,02:11.56
02:11.56,02:11.97
02:11.97,02:12.59
02:12.59,02:12.98
02:12.98,02:13.51
02:13.51,02:14.06
02:14.06,02:14.46
02:14.46,02:14.91
02:14.91,02:15.46
02:15.46,02:15.87
02:15.87,02:16.61
02:16.61,02:17.10
02:17.10,02:17.58
02:17.58,02:17.95
02:17.95,02:18.56
02:18.56,02:18.99
02:18.99,02:19.54
02:19.54,02:19.99
02:19.99,02:20.45
02:20.45,02:20.96
02:20.96,02:21.86
02:21.86,02:23.54
02:23.54,02:25.99
02:25.99,02:26.45
02:26.45,02:26.93
02:26.93,02:27.46
02:27.46,02:27.92
02:27.92,02:28.38
02:28.38,02:29.35
02:29.35,02:29.84
02:29.84,02:30.31
02:30.31,02:31.25
02:31.25,02:31.76
02:31.76,02:32.21
02:32.21,02:33.15
02:33.15,02:33.70
02:33.70,02:34.20
02:34.20,02:34.57
02:34.57,02:35.23
02:35.23,02:35.55
02:35.55,02:35.96
02:35.96,02:36.96
02:36.96,02:37.53
02:37.53,02:38.11
02:38.11,02:39.10
02:39.10,02:40.44
02:40.44,02:41.84
02:41.84,02:42.82
02:42.82,02:43.73
02:43.73,02:44.70
02:44.70,02:46.18
02:46.18,02:47.05
02:47.05,02:48.05
02:48.05,02:48.78
02:48.78,02:49.28
02:49.28,02:49.76
02:49.76,02:50.20
02:50.20,02:50.71
02:50.71,02:51.22
02:51.22,02:51.64
02:51.64,02:52.77
02:52.77,02:53.83
02:53.83,02:54.80
02:54.80,02:56.44
02:56.44,02:56.89
02:56.89,02:57.45
02:57.45,02:57.95
02:57.95,02:58.40
02:58.40,02:58.86
02:58.86,02:59.34
02:59.34,02:59.83
02:59.83,03:00.80
03:00.80,03:02.74
03:02.74,03:04.87
