start_time,end_time
00:11.34,00:12.88
00:17.71,00:20.08
00:20.08,00:20.49
00:20.49,00:20.97
00:20.97,00:21.49
00:21.49,00:21.93
00:21.93,00:22.41
00:22.41,00:22.80
00:22.80,00:23.42
00:23.42,00:24.26
00:24.26,00:25.14
00:25.14,00:26.12
00:26.12,00:26.82
00:26.82,00:27.30
00:27.30,00:27.78
00:27.78,00:28.33
00:28.33,00:28.73
00:28.73,00:29.17
00:29.17,00:29.63
00:29.63,00:30.15
00:30.15,00:30.84
00:30.84,00:31.25
00:31.25,00:32.40
00:32.40,00:34.65
00:34.65,00:35.53
00:35.53,00:35.96
00:35.96,00:36.50
00:36.50,00:36.95
00:36.95,00:37.46
00:37.46,00:37.86
00:37.86,00:38.38
00:38.38,00:39.26
00:39.26,00:40.21
00:40.21,00:41.13
00:41.13,00:41.86
00:41.86,00:42.29
00:42.29,00:42.81
00:42.81,00:43.25
00:43.25,00:43.76
00:43.76,00:44.19
00:44.19,00:44.67
00:44.67,00:45.15
00:45.15,00:45.86
00:45.86,00:46.41
00:46.41,00:47.38
00:47.38,00:49.79
00:49.79,00:50.51
00:50.51,00:51.39
00:51.39,00:52.42
00:52.42,00:53.26
00:53.26,00:53.81
00:53.81,00:54.31
00:54.31,00:54.72
00:54.72,00:55.27
00:55.27,00:55.69
00:55.69,00:56.12
00:56.12,00:56.66
00:56.66,00:57.07
00:57.07,00:57.79
00:57.79,00:58.94
00:58.94,00:59.90
00:59.90,01:00.83
01:00.83,01:01.53
01:01.53,01:02.01
01:02.01,01:02.47
01:02.47,01:03.48
01:03.48,01:04.78
01:04.78,01:05.52
01:05.52,01:06.46
01:06.46,01:07.33
01:07.33,01:08.32
01:08.32,01:08.79
01:08.79,01:09.20
01:09.20,01:09.76
01:09.76,01:10.20
01:10.20,01:10.71
01:10.71,01:11.20
01:11.20,01:11.61
01:11.61,01:12.11
01:12.11,01:13.01
01:13.01,01:14.02
01:14.02,01:14.89
01:14.89,01:15.87
01:15.87,01:16.26
01:16.26,01:17.30
01:17.30,01:18.97
01:19.18,01:20.50
01:20.50,01:20.98
01:20.98,01:21.48
01:21.48,01:21.96
01:21.96,01:22.42
01:22.42,01:22.84
