start_time,end_time,score
00:11.34,00:12.88,X
00:17.71,00:20.08,PERFECT
00:20.08,00:20.49,OK
00:20.49,00:20.97,GOOD
00:20.97,00:21.49,X
00:21.49,00:21.93,X
00:21.93,00:22.41,X
00:22.41,00:22.80,OK
00:22.80,00:23.42,X
00:23.42,00:24.26,X
00:24.26,00:25.14,X
00:25.14,00:26.12,GOOD
00:26.12,00:26.82,GOOD
00:26.82,00:27.30,OK
00:27.30,00:27.78,GOOD
00:27.78,00:28.33,PERFECT
00:28.33,00:28.73,PERFECT
00:28.73,00:29.17,PERFECT
00:29.17,00:29.63,PERFECT
00:29.63,00:30.15,GOOD
00:30.15,00:30.84,PERFECT
00:30.84,00:31.25,PERFECT
00:31.25,00:32.40,OK
00:32.40,00:34.65,PERFECT
00:34.65,00:35.53,X
00:35.53,00:35.96,OK
00:35.96,00:36.50,X
00:36.50,00:36.95,OK
00:36.95,00:37.46,X
00:37.46,00:37.86,PERFECT
00:37.86,00:38.38,X
00:38.38,00:39.26,OK
00:39.26,00:40.21,OK
00:40.21,00:41.13,GOOD
00:41.13,00:41.86,GOOD
00:41.86,00:42.29,GOOD
00:42.29,00:42.81,GOOD
00:42.81,00:43.25,GOOD
00:43.25,00:43.76,OK
00:43.76,00:44.19,OK
00:44.19,00:44.67,OK
00:44.67,00:45.15,GOOD
00:45.15,00:45.86,PERFECT
00:45.86,00:46.41,PERFECT
00:46.41,00:47.38,GOOD
00:47.38,00:49.79,PERFECT
00:49.79,00:50.51,X
00:50.51,00:51.39,PERFECT
00:51.39,00:52.42,GOOD
00:52.42,00:53.26,GOOD
00:53.26,00:53.81,GOOD
00:53.81,00:54.31,OK
00:54.31,00:54.72,OK
00:54.72,00:55.27,GOOD
00:55.27,00:55.69,PERFECT
00:55.69,00:56.12,GOOD
00:56.12,00:56.66,PERFECT
00:56.66,00:57.07,PERFECT
00:57.07,00:57.79,PERFECT
00:57.79,00:58.94,GOOD
00:58.94,00:59.90,PERFECT
00:59.90,01:00.83,GOOD
01:00.83,01:01.53,GOOD
01:01.53,01:02.01,GOOD
01:02.01,01:02.47,PERFECT
01:02.47,01:03.48,PERFECT
01:03.48,01:04.78,OK
01:04.78,01:05.52,X
01:05.52,01:06.46,X
01:06.46,01:07.33,GOOD
01:07.33,01:08.32,GOOD
01:08.32,01:08.79,PERFECT
01:08.79,01:09.20,X
01:09.20,01:09.76,X
01:09.76,01:10.20,X
01:10.20,01:10.71,GOOD
01:10.71,01:11.20,PERFECT
01:11.20,01:11.61,PERFECT
01:11.61,01:12.11,GOOD
01:12.11,01:13.01,PERFECT
01:13.01,01:14.02,PERFECT
01:14.02,01:14.89,PERFECT
01:14.89,01:15.87,PERFECT
01:15.87,01:16.26,PERFECT
01:16.26,01:17.30,PERFECT
01:17.30,01:18.97,GOOD
01:19.18,01:20.50,X
01:20.50,01:20.98,OK
01:20.98,01:21.48,X
01:21.48,01:21.96,OK
01:21.96,01:22.42,X
01:22.42,01:22.84,X
01:22.84,01:23.23,GOOD
01:23.23,01:24.29,X
01:24.29,01:25.22,X
01:25.22,01:26.15,OK
01:26.15,01:26.84,OK
01:26.84,01:27.46,GOOD
01:27.46,01:27.81,GOOD
01:27.81,01:28.24,GOOD
01:28.24,01:28.74,PERFECT
01:28.74,01:29.20,GOOD
01:29.20,01:29.65,GOOD
01:29.65,01:30.10,PERFECT
01:30.10,01:30.84,PERFECT
01:30.84,01:31.31,PERFECT
01:31.31,01:32.20,X
01:32.20,01:34.93,GOOD
01:34.93,01:35.56,X
01:35.56,01:35.98,PERFECT
01:35.98,01:36.49,X
01:36.49,01:36.90,OK
01:36.90,01:37.53,X
01:37.53,01:37.92,X
01:37.92,01:38.29,PERFECT
01:38.29,01:39.15,GOOD
01:39.15,01:40.25,OK
01:40.25,01:41.13,PERFECT
01:41.13,01:41.85,PERFECT
01:41.85,01:42.20,GOOD
01:42.20,01:42.79,X
01:42.79,01:43.34,GOOD
01:43.34,01:43.70,GOOD
01:43.70,01:44.23,PERFECT
01:44.23,01:44.64,GOOD
01:44.64,01:45.14,X
01:45.14,01:45.88,PERFECT
01:45.88,01:46.41,PERFECT
01:46.41,01:47.45,OK
01:47.45,01:49.80,OK
01:49.80,01:50.56,X
01:50.56,01:51.48,PERFECT
01:51.48,01:52.47,PERFECT
01:52.47,01:53.44,PERFECT
01:53.44,01:53.80,PERFECT
01:53.80,01:54.28,X
01:54.28,01:54.73,OK
01:54.73,01:55.23,OK
01:55.23,01:55.68,GOOD
01:55.68,01:56.14,OK
01:56.14,01:56.59,GOOD
01:56.59,01:47.14,GOOD
01:47.14,01:58.01,GOOD
