start_time,end_time
00:07.81,00:09.55
00:09.55,00:10.04
00:10.04,00:11.12
00:11.92,00:13.41
00:13.41,00:13.91
00:13.91,00:14.92
00:15.77,00:17.87
00:17.87,00:18.81
00:18.81,00:19.85
00:19.85,00:21.66
00:21.66,00:22.66
00:22.66,00:23.75
00:23.75,00:25.31
00:25.31,00:26.36
00:26.36,00:27.13
00:27.13,00:28.14
00:28.14,00:29.06
00:29.06,00:30.07
00:30.07,00:31.91
00:31.91,00:32.43
00:32.43,00:32.98
00:32.98,00:33.93
00:33.93,00:35.69
00:35.69,00:36.22
00:36.22,00:36.76
00:36.76,00:37.85
00:37.85,00:39.63
00:39.63,00:41.05
00:41.05,00:41.96
00:41.96,00:42.43
00:42.43,00:43.18
00:43.18,00:43.63
00:43.63,00:44.14
00:44.14,00:45.13
00:45.13,00:46.27
00:46.27,00:47.43
00:47.43,00:48.81
00:48.81,00:49.57
00:49.57,00:50.11
00:50.11,00:50.76
00:50.76,00:51.22
00:51.22,00:51.73
00:51.73,00:52.79
00:52.79,00:53.75
00:53.75,00:54.70
00:54.70,00:55.34
00:55.34,00:55.77
00:55.77,00:56.86
00:56.86,00:57.72
00:57.72,00:58.65
00:58.65,00:59.11
00:59.11,00:59.56
00:59.56,01:00.66
01:00.66,01:01.49
01:01.49,01:02.55
01:02.55,01:03.95
01:03.95,01:04.82
01:04.82,01:05.29
01:05.29,01:06.06
01:06.06,01:06.50
01:06.50,01:06.98
01:06.98,01:08.05
01:08.05,01:09.06
01:09.06,01:10.07
01:10.07,01:11.33
01:11.33,01:13.65
01:13.65,01:14.94
01:14.94,01:15.98
01:15.98,01:17.05
01:17.05,01:18.85
01:18.85,01:19.79
01:19.79,01:20.87
01:20.87,01:22.43
01:22.43,01:23.44
01:23.44,01:24.40
01:24.40,01:25.52
01:25.52,01:26.36
01:26.36,01:27.39
01:27.39,01:29.14
01:29.14,01:29.56
01:29.56,01:30.03
01:30.03,01:31.10
01:31.10,01:32.93
01:32.93,01:33.42
01:33.42,01:33.89
01:33.89,01:34.93
01:34.93,01:36.77
01:36.77,01:38.26
01:38.26,01:39.16
01:39.16,01:39.57
01:39.57,01:40.32
01:40.32,01:40.79
01:40.79,01:41.33
01:41.33,01:42.35
01:42.35,01:43.37
01:43.37,01:44.41
01:44.41,01:45.90
01:45.90,01:46.76
01:46.76,01:47.25
01:47.25,01:47.80
01:47.80,01:48.45
01:48.45,01:48.89
01:48.89,01:49.98
01:49.98,01:51.04
01:51.04,01:52.02
01:52.02,01:52.50
01:52.50,01:52.98
01:52.98,01:54.05
01:54.05,01:54.81
01:54.81,01:55.75
01:55.75,01:56.26
01:56.26,01:56.74
01:56.74,01:57.74
01:57.74,01:58.66
01:58.66,01:59.64
01:59.64,02:01.04
02:01.04,02:01.93
02:01.93,02:02.49
02:02.49,02:03.21
02:03.21,02:03.60
02:03.60,02:04.00
02:04.00,02:05.06
02:05.06,02:06.22
02:06.22,02:07.41
02:07.41,02:08.65
02:10.08,02:13.42
02:13.42,02:15.36
02:15.36,02:17.16
02:17.16,02:19.18
02:19.18,02:21.16
02:21.16,02:22.97
02:22.97,02:24.86
02:24.86,02:26.88
02:26.88,02:30.14
02:30.14,02:31.62
02:31.62,02:32.44
02:32.44,02:32.95
02:32.95,02:33.61
02:33.61,02:34.18
02:34.18,02:34.60
02:34.60,02:35.61
02:35.61,02:36.68
02:36.68,02:37.75
02:37.75,02:39.05
02:39.05,02:40.15
02:40.15,02:40.56
02:40.56,02:41.27
02:41.27,02:41.74
02:41.74,02:42.21
02:42.21,02:43.26
02:43.26,02:44.29
02:44.29,02:45.31
02:45.31,02:45.79
02:45.79,02:46.28
02:46.28,02:47.26
02:47.26,02:48.03
02:48.03,02:49.01
02:49.01,02:49.59
02:49.59,02:50.08
02:50.08,02:51.04
02:51.04,02:51.97
02:51.97,02:53.11
02:53.11,02:54.50
02:54.50,02:55.40
02:55.40,02:55.75
02:55.75,02:56.51
02:56.51,02:56.94
02:56.94,02:57.44
02:57.44,02:58.53
02:58.53,02:59.54
02:59.54,03:00.59
03:00.59,03:01.28
03:01.28,03:02.38
03:02.38,03:03.17
03:03.17,03:04.20
03:04.20,03:06.00
03:06.00,03:06.48
03:06.48,03:06.94
03:06.94,03:07.40
03:07.40,03:08.45
03:08.45,03:09.07
03:09.07,03:10.07
03:10.07,03:11.03
03:11.03,03:12.06
03:12.06,03:13.68
03:13.68,03:14.07
03:14.07,03:14.61
03:14.61,03:15.06
03:15.06,03:15.73
03:15.73,03:16.27
03:16.27,03:16.73
03:16.73,03:17.81
03:17.81,03:18.68
03:18.68,03:19.55
03:19.55,03:20.04
03:20.04,03:20.53
03:20.53,03:21.60
03:21.60,03:22.48
03:22.48,03:23.44
03:23.44,03:24.91
03:24.91,03:25.76
03:25.76,03:26.30
03:26.30,03:26.98
03:26.98,03:27.49
03:27.49,03:27.92
03:27.92,03:28.93
03:28.93,03:29.97
03:29.97,03:31.10
03:31.10,03:32.73
