start_time,end_time,score
00:07.81,00:09.55,OK
00:09.55,00:10.04,GOOD
00:10.04,00:11.12,PERFECT
00:11.92,00:13.41,PERFECT
00:13.41,00:13.91,PERFECT
00:13.91,00:14.92,PERFECT
00:15.77,00:17.87,X
00:17.87,00:18.81,GOOD
00:18.81,00:19.85,GOOD
00:19.85,00:21.66,GOOD
00:21.66,00:22.66,PERFECT
00:22.66,00:23.75,PERFECT
00:23.75,00:25.31,GOOD
00:25.31,00:26.36,OK
00:26.36,00:27.13,GOOD
00:27.13,00:28.14,GOOD
00:28.14,00:29.06,GOOD
00:29.06,00:30.07,PERFECT
00:30.07,00:31.91,X
00:31.91,00:32.43,OK
00:32.43,00:32.98,GOOD
00:32.98,00:33.93,PERFECT
00:33.93,00:35.69,PERFECT
00:35.69,00:36.22,GOOD
00:36.22,00:36.76,PERFECT
00:36.76,00:37.85,PERFECT
00:37.85,00:39.63,X
00:39.63,00:41.05,GOOD
00:41.05,00:41.96,X
00:41.96,00:42.43,GOOD
00:42.43,00:43.18,PERFECT
00:43.18,00:43.63,X
00:43.63,00:44.14,GOOD
00:44.14,00:45.13,PERFECT
00:45.13,00:46.27,GOOD
00:46.27,00:47.43,GOOD
00:47.43,00:48.81,X
00:48.81,00:49.57,X
00:49.57,00:50.11,PERFECT
00:50.11,00:50.76,PERFECT
00:50.76,00:51.22,OK
00:51.22,00:51.73,GOOD
00:51.73,00:52.79,GOOD
00:52.79,00:53.75,GOOD
00:53.75,00:54.70,PERFECT
00:54.70,00:55.34,GOOD
00:55.34,00:55.77,PERFECT
00:55.77,00:56.86,PERFECT
00:56.86,00:57.72,GOOD
00:57.72,00:58.65,PERFECT
00:58.65,00:59.11,OK
00:59.11,00:59.56,OK
00:59.56,01:00.66,GOOD
01:00.66,01:01.49,GOOD
01:01.49,01:02.55,GOOD
01:02.55,01:03.95,X
01:03.95,01:04.82,GOOD
01:04.82,01:05.29,GOOD
01:05.29,01:06.06,GOOD
01:06.06,01:06.50,GOOD
01:06.50,01:06.98,GOOD
01:06.98,01:08.05,GOOD
01:08.05,01:09.06,GOOD
01:09.06,01:10.07,GOOD
01:10.07,01:11.33,PERFECT
01:11.33,01:13.65,YEAH
01:13.65,01:14.94,X
01:14.94,01:15.98,GOOD
01:15.98,01:17.05,GOOD
01:17.05,01:18.85,GOOD
01:18.85,01:19.79,PERFECT
01:19.79,01:20.87,GOOD
01:20.87,01:22.43,PERFECT
01:22.43,01:23.44,GOOD
01:23.44,01:24.40,PERFECT
01:24.40,01:25.52,GOOD
01:25.52,01:26.36,PERFECT
01:26.36,01:27.39,GOOD
01:27.39,01:29.14,GOOD
01:29.14,01:29.56,OK
01:29.56,01:30.03,PERFECT
01:30.03,01:31.10,PERFECT
01:31.10,01:32.93,PERFECT
01:32.93,01:33.42,PERFECT
01:33.42,01:33.89,PERFECT
01:33.89,01:34.93,PERFECT
01:34.93,01:36.77,X
01:36.77,01:38.26,X
01:38.26,01:39.16,X
01:39.16,01:39.57,PERFECT
01:39.57,01:40.32,PERFECT
01:40.32,01:40.79,OK
01:40.79,01:41.33,GOOD
01:41.33,01:42.35,GOOD
01:42.35,01:43.37,GOOD
01:43.37,01:44.41,GOOD
01:44.41,01:45.90,OK
01:45.90,01:46.76,X
01:46.76,01:47.25,OK
01:47.25,01:47.80,PERFECT
01:47.80,01:48.45,X
01:48.45,01:48.89,GOOD
01:48.89,01:49.98,OK
01:49.98,01:51.04,OK
01:51.04,01:52.02,OK
01:52.02,01:52.50,GOOD
01:52.50,01:52.98,GOOD
01:52.98,01:54.05,GOOD
01:54.05,01:54.81,GOOD
01:54.81,01:55.75,OK
01:55.75,01:56.26,OK
01:56.26,01:56.74,OK
01:56.74,01:57.74,GOOD
01:57.74,01:58.66,GOOD
01:58.66,01:59.64,GOOD
01:59.64,02:01.04,GOOD
02:01.04,02:01.93,OK
02:01.93,02:02.49,GOOD
02:02.49,02:03.21,PEFECT
02:03.21,02:03.60,OK
02:03.60,02:04.00,GOOD
02:04.00,02:05.06,PERFECT
02:05.06,02:06.22,GOOD
02:06.22,02:07.41,PERFECT
02:07.41,02:08.65,PERFECT
02:10.08,02:13.42,PERFECT
02:13.42,02:15.36,PERFECT
02:15.36,02:17.16,GOOD
02:17.16,02:19.18,GOOD
02:19.18,02:21.16,PERFECT
